Metric,Year and Month,Statistical value
Monthly Real Earnings(NT),1980 JAN,"17,809"
Monthly Real Earnings(NT),1980 FEB,"22,638"
Monthly Real Earnings(NT),1980 MAR,"17,119"
Monthly Real Earnings(NT),1980 APR,"17,217"
Monthly Real Earnings(NT),1980 MAY,"17,282"
Monthly Real Earnings(NT),1980 JUN,"17,294"
Monthly Real Earnings(NT),1980 JUL,"17,872"
Monthly Real Earnings(NT),1980 AUG,"17,736"
Monthly Real Earnings(NT),1980 SEP,"17,461"
Monthly Real Earnings(NT),1980 OCT,"17,422"
Monthly Real Earnings(NT),1980 NOV,"17,562"
Monthly Real Earnings(NT),1980 DEC,"18,988"
Monthly Real Earnings(NT),1981 JAN,"20,402"
Monthly Real Earnings(NT),1981 FEB,"19,379"
Monthly Real Earnings(NT),1981 MAR,"17,269"
Monthly Real Earnings(NT),1981 APR,"17,649"
Monthly Real Earnings(NT),1981 MAY,"18,114"
Monthly Real Earnings(NT),1981 JUN,"18,141"
Monthly Real Earnings(NT),1981 JUL,"18,433"
Monthly Real Earnings(NT),1981 AUG,"18,500"
Monthly Real Earnings(NT),1981 SEP,"18,722"
Monthly Real Earnings(NT),1981 OCT,"18,790"
Monthly Real Earnings(NT),1981 NOV,"18,872"
Monthly Real Earnings(NT),1981 DEC,"20,212"
Monthly Real Earnings(NT),1982 JAN,"23,407"
Monthly Real Earnings(NT),1982 FEB,"19,276"
Monthly Real Earnings(NT),1982 MAR,"18,998"
Monthly Real Earnings(NT),1982 APR,"18,994"
Monthly Real Earnings(NT),1982 MAY,"19,085"
Monthly Real Earnings(NT),1982 JUN,"19,350"
Monthly Real Earnings(NT),1982 JUL,"19,141"
Monthly Real Earnings(NT),1982 AUG,"18,502"
Monthly Real Earnings(NT),1982 SEP,"19,209"
Monthly Real Earnings(NT),1982 OCT,"19,041"
Monthly Real Earnings(NT),1982 NOV,"19,119"
Monthly Real Earnings(NT),1982 DEC,"20,269"
Monthly Real Earnings(NT),1983 JAN,"20,022"
Monthly Real Earnings(NT),1983 FEB,"21,116"
Monthly Real Earnings(NT),1983 MAR,"19,564"
Monthly Real Earnings(NT),1983 APR,"19,330"
Monthly Real Earnings(NT),1983 MAY,"19,839"
Monthly Real Earnings(NT),1983 JUN,"20,236"
Monthly Real Earnings(NT),1983 JUL,"20,013"
Monthly Real Earnings(NT),1983 AUG,"20,254"
Monthly Real Earnings(NT),1983 SEP,"20,855"
Monthly Real Earnings(NT),1983 OCT,"20,394"
Monthly Real Earnings(NT),1983 NOV,"20,475"
Monthly Real Earnings(NT),1983 DEC,"22,122"
Monthly Real Earnings(NT),1984 JAN,"26,323"
Monthly Real Earnings(NT),1984 FEB,"21,445"
Monthly Real Earnings(NT),1984 MAR,"21,809"
Monthly Real Earnings(NT),1984 APR,"21,824"
Monthly Real Earnings(NT),1984 MAY,"22,101"
Monthly Real Earnings(NT),1984 JUN,"22,161"
Monthly Real Earnings(NT),1984 JUL,"22,249"
Monthly Real Earnings(NT),1984 AUG,"22,006"
Monthly Real Earnings(NT),1984 SEP,"22,537"
Monthly Real Earnings(NT),1984 OCT,"22,172"
Monthly Real Earnings(NT),1984 NOV,"22,324"
Monthly Real Earnings(NT),1984 DEC,"23,421"
Monthly Real Earnings(NT),1985 JAN,"23,091"
Monthly Real Earnings(NT),1985 FEB,"26,325"
Monthly Real Earnings(NT),1985 MAR,"22,276"
Monthly Real Earnings(NT),1985 APR,"22,432"
Monthly Real Earnings(NT),1985 MAY,"22,636"
Monthly Real Earnings(NT),1985 JUN,"24,307"
Monthly Real Earnings(NT),1985 JUL,"23,696"
Monthly Real Earnings(NT),1985 AUG,"22,890"
Monthly Real Earnings(NT),1985 SEP,"22,968"
Monthly Real Earnings(NT),1985 OCT,"22,954"
Monthly Real Earnings(NT),1985 NOV,"23,275"
Monthly Real Earnings(NT),1985 DEC,"25,408"
Monthly Real Earnings(NT),1986 JAN,"29,420"
Monthly Real Earnings(NT),1986 FEB,"28,042"
Monthly Real Earnings(NT),1986 MAR,"24,208"
Monthly Real Earnings(NT),1986 APR,"24,103"
Monthly Real Earnings(NT),1986 MAY,"24,316"
Monthly Real Earnings(NT),1986 JUN,"24,700"
Monthly Real Earnings(NT),1986 JUL,"25,142"
Monthly Real Earnings(NT),1986 AUG,"24,441"
Monthly Real Earnings(NT),1986 SEP,"24,152"
Monthly Real Earnings(NT),1986 OCT,"24,051"
Monthly Real Earnings(NT),1986 NOV,"24,180"
Monthly Real Earnings(NT),1986 DEC,"26,581"
Monthly Real Earnings(NT),1987 JAN,"40,162"
Monthly Real Earnings(NT),1987 FEB,"24,676"
Monthly Real Earnings(NT),1987 MAR,"25,632"
Monthly Real Earnings(NT),1987 APR,"25,485"
Monthly Real Earnings(NT),1987 MAY,"26,107"
Monthly Real Earnings(NT),1987 JUN,"25,979"
Monthly Real Earnings(NT),1987 JUL,"26,640"
Monthly Real Earnings(NT),1987 AUG,"26,192"
Monthly Real Earnings(NT),1987 SEP,"26,581"
Monthly Real Earnings(NT),1987 OCT,"26,962"
Monthly Real Earnings(NT),1987 NOV,"26,350"
Monthly Real Earnings(NT),1987 DEC,"28,293"
Monthly Real Earnings(NT),1988 JAN,"30,639"
Monthly Real Earnings(NT),1988 FEB,"42,392"
Monthly Real Earnings(NT),1988 MAR,"27,972"
Monthly Real Earnings(NT),1988 APR,"27,919"
Monthly Real Earnings(NT),1988 MAY,"27,931"
Monthly Real Earnings(NT),1988 JUN,"28,615"
Monthly Real Earnings(NT),1988 JUL,"29,687"
Monthly Real Earnings(NT),1988 AUG,"28,600"
Monthly Real Earnings(NT),1988 SEP,"29,656"
Monthly Real Earnings(NT),1988 OCT,"28,735"
Monthly Real Earnings(NT),1988 NOV,"28,943"
Monthly Real Earnings(NT),1988 DEC,"31,484"
Monthly Real Earnings(NT),1989 JAN,"45,439"
Monthly Real Earnings(NT),1989 FEB,"38,250"
Monthly Real Earnings(NT),1989 MAR,"30,222"
Monthly Real Earnings(NT),1989 APR,"29,935"
Monthly Real Earnings(NT),1989 MAY,"30,586"
Monthly Real Earnings(NT),1989 JUN,"31,065"
Monthly Real Earnings(NT),1989 JUL,"32,060"
Monthly Real Earnings(NT),1989 AUG,"32,101"
Monthly Real Earnings(NT),1989 SEP,"32,151"
Monthly Real Earnings(NT),1989 OCT,"31,505"
Monthly Real Earnings(NT),1989 NOV,"32,335"
Monthly Real Earnings(NT),1989 DEC,"35,421"
Monthly Real Earnings(NT),1990 JAN,"66,796"
Monthly Real Earnings(NT),1990 FEB,"33,844"
Monthly Real Earnings(NT),1990 MAR,"33,194"
Monthly Real Earnings(NT),1990 APR,"32,996"
Monthly Real Earnings(NT),1990 MAY,"33,514"
Monthly Real Earnings(NT),1990 JUN,"33,556"
Monthly Real Earnings(NT),1990 JUL,"34,416"
Monthly Real Earnings(NT),1990 AUG,"33,602"
Monthly Real Earnings(NT),1990 SEP,"33,203"
Monthly Real Earnings(NT),1990 OCT,"34,103"
Monthly Real Earnings(NT),1990 NOV,"34,282"
Monthly Real Earnings(NT),1990 DEC,"37,546"
Monthly Real Earnings(NT),1991 JAN,"42,776"
Monthly Real Earnings(NT),1991 FEB,"62,443"
Monthly Real Earnings(NT),1991 MAR,"35,303"
Monthly Real Earnings(NT),1991 APR,"35,037"
Monthly Real Earnings(NT),1991 MAY,"36,618"
Monthly Real Earnings(NT),1991 JUN,"36,439"
Monthly Real Earnings(NT),1991 JUL,"37,065"
Monthly Real Earnings(NT),1991 AUG,"36,061"
Monthly Real Earnings(NT),1991 SEP,"36,946"
Monthly Real Earnings(NT),1991 OCT,"35,973"
Monthly Real Earnings(NT),1991 NOV,"35,563"
Monthly Real Earnings(NT),1991 DEC,"40,154"
Monthly Real Earnings(NT),1992 JAN,"69,670"
Monthly Real Earnings(NT),1992 FEB,"44,169"
Monthly Real Earnings(NT),1992 MAR,"37,175"
Monthly Real Earnings(NT),1992 APR,"36,097"
Monthly Real Earnings(NT),1992 MAY,"37,760"
Monthly Real Earnings(NT),1992 JUN,"37,312"
Monthly Real Earnings(NT),1992 JUL,"38,422"
Monthly Real Earnings(NT),1992 AUG,"38,622"
Monthly Real Earnings(NT),1992 SEP,"37,436"
Monthly Real Earnings(NT),1992 OCT,"37,101"
Monthly Real Earnings(NT),1992 NOV,"37,586"
Monthly Real Earnings(NT),1992 DEC,"42,361"
Monthly Real Earnings(NT),1993 JAN,"80,966"
Monthly Real Earnings(NT),1993 FEB,"38,933"
Monthly Real Earnings(NT),1993 MAR,"38,230"
Monthly Real Earnings(NT),1993 APR,"37,837"
Monthly Real Earnings(NT),1993 MAY,"39,252"
Monthly Real Earnings(NT),1993 JUN,"39,676"
Monthly Real Earnings(NT),1993 JUL,"40,144"
Monthly Real Earnings(NT),1993 AUG,"39,513"
Monthly Real Earnings(NT),1993 SEP,"40,661"
Monthly Real Earnings(NT),1993 OCT,"39,211"
Monthly Real Earnings(NT),1993 NOV,"39,010"
Monthly Real Earnings(NT),1993 DEC,"42,748"
Monthly Real Earnings(NT),1994 JAN,"62,128"
Monthly Real Earnings(NT),1994 FEB,"59,989"
Monthly Real Earnings(NT),1994 MAR,"39,637"
Monthly Real Earnings(NT),1994 APR,"39,472"
Monthly Real Earnings(NT),1994 MAY,"39,430"
Monthly Real Earnings(NT),1994 JUN,"40,699"
Monthly Real Earnings(NT),1994 JUL,"40,966"
Monthly Real Earnings(NT),1994 AUG,"39,414"
Monthly Real Earnings(NT),1994 SEP,"40,053"
Monthly Real Earnings(NT),1994 OCT,"39,305"
Monthly Real Earnings(NT),1994 NOV,"40,057"
Monthly Real Earnings(NT),1994 DEC,"45,536"
Monthly Real Earnings(NT),1995 JAN,"85,121"
Monthly Real Earnings(NT),1995 FEB,"41,256"
Monthly Real Earnings(NT),1995 MAR,"40,096"
Monthly Real Earnings(NT),1995 APR,"39,420"
Monthly Real Earnings(NT),1995 MAY,"41,067"
Monthly Real Earnings(NT),1995 JUN,"40,234"
Monthly Real Earnings(NT),1995 JUL,"41,139"
Monthly Real Earnings(NT),1995 AUG,"41,097"
Monthly Real Earnings(NT),1995 SEP,"40,717"
Monthly Real Earnings(NT),1995 OCT,"39,931"
Monthly Real Earnings(NT),1995 NOV,"39,666"
Monthly Real Earnings(NT),1995 DEC,"43,631"
Monthly Real Earnings(NT),1996 JAN,"49,802"
Monthly Real Earnings(NT),1996 FEB,"74,770"
Monthly Real Earnings(NT),1996 MAR,"41,126"
Monthly Real Earnings(NT),1996 APR,"40,196"
Monthly Real Earnings(NT),1996 MAY,"40,568"
Monthly Real Earnings(NT),1996 JUN,"41,474"
Monthly Real Earnings(NT),1996 JUL,"42,323"
Monthly Real Earnings(NT),1996 AUG,"40,062"
Monthly Real Earnings(NT),1996 SEP,"41,130"
Monthly Real Earnings(NT),1996 OCT,"40,368"
Monthly Real Earnings(NT),1996 NOV,"40,070"
Monthly Real Earnings(NT),1996 DEC,"44,063"
Monthly Real Earnings(NT),1997 JAN,"70,921"
Monthly Real Earnings(NT),1997 FEB,"59,361"
Monthly Real Earnings(NT),1997 MAR,"42,226"
Monthly Real Earnings(NT),1997 APR,"42,202"
Monthly Real Earnings(NT),1997 MAY,"42,550"
Monthly Real Earnings(NT),1997 JUN,"42,627"
Monthly Real Earnings(NT),1997 JUL,"43,254"
Monthly Real Earnings(NT),1997 AUG,"42,081"
Monthly Real Earnings(NT),1997 SEP,"42,125"
Monthly Real Earnings(NT),1997 OCT,"41,922"
Monthly Real Earnings(NT),1997 NOV,"41,684"
Monthly Real Earnings(NT),1997 DEC,"46,576"
Monthly Real Earnings(NT),1998 JAN,"91,757"
Monthly Real Earnings(NT),1998 FEB,"44,971"
Monthly Real Earnings(NT),1998 MAR,"42,372"
Monthly Real Earnings(NT),1998 APR,"42,412"
Monthly Real Earnings(NT),1998 MAY,"43,544"
Monthly Real Earnings(NT),1998 JUN,"41,899"
Monthly Real Earnings(NT),1998 JUL,"43,722"
Monthly Real Earnings(NT),1998 AUG,"42,561"
Monthly Real Earnings(NT),1998 SEP,"42,655"
Monthly Real Earnings(NT),1998 OCT,"41,646"
Monthly Real Earnings(NT),1998 NOV,"40,571"
Monthly Real Earnings(NT),1998 DEC,"46,019"
Monthly Real Earnings(NT),1999 JAN,"57,586"
Monthly Real Earnings(NT),1999 FEB,"76,031"
Monthly Real Earnings(NT),1999 MAR,"43,544"
Monthly Real Earnings(NT),1999 APR,"43,393"
Monthly Real Earnings(NT),1999 MAY,"44,012"
Monthly Real Earnings(NT),1999 JUN,"45,225"
Monthly Real Earnings(NT),1999 JUL,"45,392"
Monthly Real Earnings(NT),1999 AUG,"44,594"
Monthly Real Earnings(NT),1999 SEP,"44,654"
Monthly Real Earnings(NT),1999 OCT,"43,014"
Monthly Real Earnings(NT),1999 NOV,"42,984"
Monthly Real Earnings(NT),1999 DEC,"49,701"
Monthly Real Earnings(NT),2000 JAN,"78,285"
Monthly Real Earnings(NT),2000 FEB,"60,853"
Monthly Real Earnings(NT),2000 MAR,"44,921"
Monthly Real Earnings(NT),2000 APR,"44,247"
Monthly Real Earnings(NT),2000 MAY,"44,272"
Monthly Real Earnings(NT),2000 JUN,"45,518"
Monthly Real Earnings(NT),2000 JUL,"45,763"
Monthly Real Earnings(NT),2000 AUG,"44,531"
Monthly Real Earnings(NT),2000 SEP,"44,582"
Monthly Real Earnings(NT),2000 OCT,"43,705"
Monthly Real Earnings(NT),2000 NOV,"42,421"
Monthly Real Earnings(NT),2000 DEC,"48,818"
Monthly Real Earnings(NT),2001 JAN,"88,331"
Monthly Real Earnings(NT),2001 FEB,"46,135"
Monthly Real Earnings(NT),2001 MAR,"45,310"
Monthly Real Earnings(NT),2001 APR,"43,958"
Monthly Real Earnings(NT),2001 MAY,"44,306"
Monthly Real Earnings(NT),2001 JUN,"46,163"
Monthly Real Earnings(NT),2001 JUL,"45,691"
Monthly Real Earnings(NT),2001 AUG,"46,403"
Monthly Real Earnings(NT),2001 SEP,"44,634"
Monthly Real Earnings(NT),2001 OCT,"44,366"
Monthly Real Earnings(NT),2001 NOV,"43,327"
Monthly Real Earnings(NT),2001 DEC,"48,871"
Monthly Real Earnings(NT),2002 JAN,"63,482"
Monthly Real Earnings(NT),2002 FEB,"64,955"
Monthly Real Earnings(NT),2002 MAR,"45,285"
Monthly Real Earnings(NT),2002 APR,"45,249"
Monthly Real Earnings(NT),2002 MAY,"45,601"
Monthly Real Earnings(NT),2002 JUN,"45,895"
Monthly Real Earnings(NT),2002 JUL,"45,476"
Monthly Real Earnings(NT),2002 AUG,"46,242"
Monthly Real Earnings(NT),2002 SEP,"46,483"
Monthly Real Earnings(NT),2002 OCT,"43,774"
Monthly Real Earnings(NT),2002 NOV,"43,454"
Monthly Real Earnings(NT),2002 DEC,"48,800"
Monthly Real Earnings(NT),2003 JAN,"85,073"
Monthly Real Earnings(NT),2003 FEB,"46,533"
Monthly Real Earnings(NT),2003 MAR,"44,965"
Monthly Real Earnings(NT),2003 APR,"44,899"
Monthly Real Earnings(NT),2003 MAY,"45,559"
Monthly Real Earnings(NT),2003 JUN,"45,216"
Monthly Real Earnings(NT),2003 JUL,"46,042"
Monthly Real Earnings(NT),2003 AUG,"46,840"
Monthly Real Earnings(NT),2003 SEP,"47,845"
Monthly Real Earnings(NT),2003 OCT,"44,727"
Monthly Real Earnings(NT),2003 NOV,"44,745"
Monthly Real Earnings(NT),2003 DEC,"50,958"
Monthly Real Earnings(NT),2004 JAN,"88,405"
Monthly Real Earnings(NT),2004 FEB,"46,442"
Monthly Real Earnings(NT),2004 MAR,"45,737"
Monthly Real Earnings(NT),2004 APR,"44,972"
Monthly Real Earnings(NT),2004 MAY,"45,134"
Monthly Real Earnings(NT),2004 JUN,"46,318"
Monthly Real Earnings(NT),2004 JUL,"45,681"
Monthly Real Earnings(NT),2004 AUG,"47,266"
Monthly Real Earnings(NT),2004 SEP,"45,925"
Monthly Real Earnings(NT),2004 OCT,"44,188"
Monthly Real Earnings(NT),2004 NOV,"44,442"
Monthly Real Earnings(NT),2004 DEC,"49,311"
Monthly Real Earnings(NT),2005 JAN,"75,372"
Monthly Real Earnings(NT),2005 FEB,"64,021"
Monthly Real Earnings(NT),2005 MAR,"44,882"
Monthly Real Earnings(NT),2005 APR,"44,311"
Monthly Real Earnings(NT),2005 MAY,"44,281"
Monthly Real Earnings(NT),2005 JUN,"45,302"
Monthly Real Earnings(NT),2005 JUL,"44,441"
Monthly Real Earnings(NT),2005 AUG,"45,492"
Monthly Real Earnings(NT),2005 SEP,"44,688"
Monthly Real Earnings(NT),2005 OCT,"42,806"
Monthly Real Earnings(NT),2005 NOV,"43,465"
Monthly Real Earnings(NT),2005 DEC,"48,244"
Monthly Real Earnings(NT),2006 JAN,"92,648"
Monthly Real Earnings(NT),2006 FEB,"45,567"
Monthly Real Earnings(NT),2006 MAR,"44,665"
Monthly Real Earnings(NT),2006 APR,"44,483"
Monthly Real Earnings(NT),2006 MAY,"45,116"
Monthly Real Earnings(NT),2006 JUN,"44,036"
Monthly Real Earnings(NT),2006 JUL,"44,179"
Monthly Real Earnings(NT),2006 AUG,"46,092"
Monthly Real Earnings(NT),2006 SEP,"44,860"
Monthly Real Earnings(NT),2006 OCT,"44,473"
Monthly Real Earnings(NT),2006 NOV,"43,652"
Monthly Real Earnings(NT),2006 DEC,"47,670"
Monthly Real Earnings(NT),2007 JAN,"55,030"
Monthly Real Earnings(NT),2007 FEB,"83,820"
Monthly Real Earnings(NT),2007 MAR,"44,918"
Monthly Real Earnings(NT),2007 APR,"44,225"
Monthly Real Earnings(NT),2007 MAY,"45,312"
Monthly Real Earnings(NT),2007 JUN,"45,406"
Monthly Real Earnings(NT),2007 JUL,"46,283"
Monthly Real Earnings(NT),2007 AUG,"45,622"
Monthly Real Earnings(NT),2007 SEP,"46,514"
Monthly Real Earnings(NT),2007 OCT,"42,411"
Monthly Real Earnings(NT),2007 NOV,"42,513"
Monthly Real Earnings(NT),2007 DEC,"47,765"
Monthly Real Earnings(NT),2008 JAN,"71,881"
Monthly Real Earnings(NT),2008 FEB,"64,358"
Monthly Real Earnings(NT),2008 MAR,"43,957"
Monthly Real Earnings(NT),2008 APR,"43,405"
Monthly Real Earnings(NT),2008 MAY,"43,782"
Monthly Real Earnings(NT),2008 JUN,"43,657"
Monthly Real Earnings(NT),2008 JUL,"45,006"
Monthly Real Earnings(NT),2008 AUG,"43,553"
Monthly Real Earnings(NT),2008 SEP,"43,719"
Monthly Real Earnings(NT),2008 OCT,"41,254"
Monthly Real Earnings(NT),2008 NOV,"40,208"
Monthly Real Earnings(NT),2008 DEC,"44,951"
Monthly Real Earnings(NT),2009 JAN,"73,409"
Monthly Real Earnings(NT),2009 FEB,"45,050"
Monthly Real Earnings(NT),2009 MAR,"42,204"
Monthly Real Earnings(NT),2009 APR,"42,254"
Monthly Real Earnings(NT),2009 MAY,"42,970"
Monthly Real Earnings(NT),2009 JUN,"41,381"
Monthly Real Earnings(NT),2009 JUL,"42,866"
Monthly Real Earnings(NT),2009 AUG,"41,976"
Monthly Real Earnings(NT),2009 SEP,"43,371"
Monthly Real Earnings(NT),2009 OCT,"42,451"
Monthly Real Earnings(NT),2009 NOV,"41,939"
Monthly Real Earnings(NT),2009 DEC,"46,201"
Monthly Real Earnings(NT),2010 JAN,"58,027"
Monthly Real Earnings(NT),2010 FEB,"72,126"
Monthly Real Earnings(NT),2010 MAR,"44,111"
Monthly Real Earnings(NT),2010 APR,"43,233"
Monthly Real Earnings(NT),2010 MAY,"44,248"
Monthly Real Earnings(NT),2010 JUN,"44,606"
